action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
-0.5998579352978777,0.32155375416078125,-0.39569310676405783,-0.23955267066165137,0.3221535889181067,-0.39126852257732697,-0.3466494769560648,0.3210679243101961,-0.3990408228023081,-0.20250582326662916,0.967208151646609,-0.7959734274945474
-0.6052185570157456,0.32156996826953227,-0.3955779499400113,-0.23424653812303073,0.3221313708767288,-0.39143886671232164,-0.3412444540620262,0.3210638402397465,-0.3990682070182719,-0.17828234621832226,1.008396804982954,-0.8158586617942195
-0.6105776777504567,0.32158640927108606,-0.39546096052025004,-0.22893827628272265,0.3221093273682761,-0.3916073782516017,-0.33583908210213714,0.32106001796868455,-0.3990937411852286,-0.1527415470104877,1.048744768125198,-0.8346969079822053
-0.6159352975020111,0.3216030771654426,-0.3953421385047743,-0.22362790259401968,0.3220874583927486,-0.3917740397418746,-0.33043339598298277,0.32105647495030304,-0.3991174776630558,-0.1259466763752176,1.0879089617022775,-0.8523914050047742
-0.6212913639105314,0.32161997195260195,-0.3952214664402914,-0.2183154519635068,0.3220657639501463,-0.3919388511831405,-0.32502739570456296,0.32105319373130925,-0.3991393640918758,-0.09796728568320395,1.1255406165697652,-0.868858761030266
-0.6266458769760174,0.32163707617927145,-0.3950989617800939,-0.21300092439118404,0.3220442440404693,-0.39210183002869164,-0.3196211336267554,0.32105019176499583,-0.3991594353782737,-0.0688789651443507,1.1612912428359163,-0.884029110528723
-0.631998801791884,0.3216544072987438,-0.39497462452418186,-0.20768433733034397,0.32202291611700984,-0.3922629588252358,-0.31421460974956,0.3210474690513627,-0.3991776915222495,-0.03876290747546058,1.1948190526733125,-0.8978459746455512
-0.6373501209048387,0.32167194785772635,-0.39484845467255514,-0.20236574314086408,0.3220017627264757,-0.39242225502606537,-0.308807858979562,0.32104500813711745,-0.3991941150705108,-0.007705681007432524,1.2257954878502655,-0.9102656677895727
-0.6426997994082966,0.3216896978562191,-0.3947204522252139,-0.1970451243694519,0.3219807838688667,-0.3925796837245952,-0.30340089877005355,0.32104282647555243,-0.39920870602305747,0.024201259006928974,1.2539115901825881,-0.9212562329821837
-0.6480478373022577,0.3217076747475146,-0.3945905997288655,-0.19172253337598497,0.32195999699747546,-0.39273529728070306,-0.29799378148091255,0.32104090661337525,-0.39922148183318207,0.05686200672522682,1.2788837087602454,-0.9307961852202923
-0.6533941996801367,0.3217258610783204,-0.39445891463680255,-0.18639798761375576,0.3219394021123019,-0.39288904333451125,-0.2925864896588463,0.3210392660038784,-0.3992324250475921,0.09017664204778435,1.3004583694159706,-0.9388725916141408
-0.6587388690886415,0.32174425684863645,-0.394325396949025,-0.18107150453605686,0.3219189992133461,-0.39304095679260476,-0.2871790756637324,0.32103790464706183,-0.39924155311958004,0.12404166694995829,1.3184162540759579,-0.9454793086047627
-0.6640818280744791,0.32176286205846266,-0.39419004666553287,-0.17574310159618078,0.32189878830060803,-0.39319103765498375,-0.28177153949557093,0.32103680508963306,-0.3992488485958533,0.15835070361383957,1.3325750805531291,-0.9506148875688784
-0.6694230242777723,0.32178167670779917,-0.39405284633303356,-0.17041279624742,0.32187878682738014,-0.39333926846835565,-0.2763639335142393,0.32103598478488465,-0.39925432892970464,0.1929948784006888,1.3427916096757733,-0.954280567690257
-0.6747624751518136,0.32180070079664597,-0.3939138134048197,-0.16508062339635962,0.3218589598870775,-0.393485666686013,-0.2709562577197377,0.32103544373281656,-0.39925797666784124,0.22786351998263704,1.3489628670180225,-0.9564786528035113
-0.6801001457900178,0.3218199168717104,-0.39377293042759864,-0.1597466004962921,0.3218393423862851,-0.3936302148546631,-0.26554856447194347,0.3210351644801362,-0.3992597918102634,0.2628447003947539,1.3510268410315533,-0.9572110976774033
-0.6854360012857998,0.3218393423862851,-0.3936302148546631,-0.15441074500051,0.3218199168717104,-0.39377293042759864,-0.2601408363175643,0.3210351644801362,-0.3992597918102634,0.2978258808068707,1.3489628670180225,-0.9564786528035113
-0.6907700241858674,0.3218589598870775,-0.393485666686013,-0.14907307436230585,0.32180070079664597,-0.3939138134048197,-0.2547331430697701,0.32103544373281656,-0.39925797666784124,0.3326945223888189,1.3427916096757733,-0.954280567690257
-0.6961021970369278,0.32187878682738014,-0.39333926846835565,-0.14373364094155713,0.32178167670779917,-0.39405284633303356,-0.2493254672752684,0.32103598478488465,-0.39925432892970464,0.36733869717566814,1.3325750805531291,-0.9506148875688784
-0.7014325023856884,0.32189878830060803,-0.39319103765498375,-0.13839242728497142,0.32176286205846266,-0.39419004666553287,-0.2439178612939368,0.32103680508963306,-0.3992488485958533,0.40164771638625696,1.3184162540759579,-0.9454793086047627
-0.7067609053255646,0.3219189992133461,-0.39304095679260476,-0.1330494682991337,0.32174425684863645,-0.394325396949025,-0.2385103251257753,0.32103790464706183,-0.39924155311958004,0.4355127587417234,1.3004583694159706,-0.9388725916141408
-0.7120873884032635,0.3219394021123019,-0.39288904333451125,-0.12770479889062902,0.3217258610783204,-0.39445891463680255,-0.23310291113066145,0.3210392660038784,-0.3992324250475921,0.4688273766109884,1.2788837087602454,-0.9307961852202923
-0.7174119341654926,0.32195999699747546,-0.39273529728070306,-0.1223584365127499,0.3217076747475146,-0.3945905997288655,-0.22769561930859517,0.32104090661337525,-0.39922148183318207,0.5014881417825787,1.2539115901825881,-0.9212562329821837
-0.7227345251589596,0.3219807838688667,-0.3925796837245952,-0.11701039861878888,0.3216896978562191,-0.3947204522252139,-0.22228850201945416,0.32104282647555243,-0.39920870602305747,0.5333950817969403,1.2257954878502655,-0.9102656677895727
-0.7280551439303719,0.3220017627264757,-0.39242225502606537,-0.11166072011533097,0.32167194785772635,-0.39484845467255514,-0.2168815418099458,0.32104500813711745,-0.3991941150705108,0.5644523082649683,1.1948190526733125,-0.8978459746455512
-0.7333737381198518,0.32202291611700984,-0.3922629588252358,-0.10630940100237622,0.3216544072987438,-0.39497462452418186,-0.2114747910399477,0.3210474690513627,-0.3991776915222495,0.594568348480566,1.1612912428359163,-0.884029110528723
-0.7386903251806919,0.3220442440404693,-0.39210183002869164,-0.1009564761865096,0.32163707617927145,-0.3950989617800939,-0.20606826716275234,0.32105019176499583,-0.3991594353782737,0.6236566864727118,1.1255406165697652,-0.868858761030266
-0.7440048527530145,0.3220657639501463,-0.3919388511831405,-0.09560196312102368,0.32161997195260195,-0.3952214664402914,-0.20066200508494478,0.32105319373130925,-0.3991393640918758,0.6516360771647253,1.0879089617022775,-0.8523914050047742
-0.7493173033835274,0.3220874583927486,-0.3917740397418746,-0.09024589671250347,0.3216030771654426,-0.3953421385047743,-0.19525600480652502,0.32105647495030304,-0.3991174776630558,0.6784309477999954,1.048744768125198,-0.8346969079822053
-0.7546276770722304,0.3221093273682761,-0.3916073782516017,-0.084888276960949,0.32158640927108606,-0.39546096052025004,-0.18985031868737065,0.32106001796868455,-0.3990937411852286,0.70397174700783,1.008396804982954,-0.8158586617942195
-0.7599359389125384,0.3221313708767288,-0.39143886671232164,-0.07952915622623781,0.32156996826953227,-0.3955779499400113,-0.18444494672748157,0.3210638402397465,-0.3990682070182719,0.7281952240561369,0.967208151646609,-0.7959734274945474
-0.7652420714511591,0.3221535889181067,-0.39126852257732697,-0.07416853450836991,0.32155375416078125,-0.39569310676405783,-0.17903992383344297,0.3210679243101961,-0.3990408228023081,0.7510447255573962,0.9255109617261105,-0.7751508117602139
-0.7705460397815072,0.3221759814924097,-0.39109632839332525,-0.06880644671393034,0.32153774949154046,-0.39580644844568236,-0.17363526745854724,0.32107228763332607,-0.3990116234439223,0.7724704049081711,0.8836222044669131,-0.7535124640400837
-0.7758478264502905,0.32219853114634556,-0.3909222841603164,-0.0634429102962116,0.3215219891683949,-0.39591792262500725,-0.16823099505608693,0.3210769127558439,-0.3989806089431143,0.7924295539016654,0.8418406453303733,-0.7311910991704778
-0.7811474314575086,0.3222212553332065,-0.39074638987830035,-0.058077942708506226,0.3215064557380522,-0.39602758166191,-0.16282715898593966,0.32108179967774947,-0.3989477618465918,0.8108867772606484,0.8004446817854765,-0.7083293803644545
-0.7864448198965768,0.32224413659970014,-0.39056864554727727,-0.05271157885739926,0.3214911492005122,-0.3961354081030982,-0.1574237592481054,0.3210869833056279,-0.39891308215435467,0.8278142195302582,0.7596913135645789,-0.6850787149346241
-0.7917399568609099,0.32226719239911894,-0.39038906862053957,-0.04734383619618322,0.32147608700906755,-0.3962414019485719,-0.15202083074916914,0.3210924112796016,-0.3988765873196955,0.8431918443306823,0.7198160903035299,-0.6615979802027959
-0.7970328423505079,0.322290387824878,-0.39020764164479477,-0.04197473217815063,0.3214612517104256,-0.39634556319833086,-0.14661839094242346,0.32109811850625564,-0.39883825988932164,0.8570076612499591,0.6810336525937394,-0.6380521272365759
-0.8023234414587858,0.3223137577835622,-0.39002434716675033,-0.036604301709886516,0.32144664330458633,-0.39644789185237533,-0.14121645728116086,0.3211040875322974,-0.3987981173165258,0.8692579701900747,0.6435387966330228,-0.6146108718524279
-0.807611736732451,0.32233726736858653,-0.3898392200929913,-0.031232544791390888,0.32143227924484247,-0.39654838791070507,-0.13581506467196636,0.321110318357727,-0.39875614214801536,0.8799476057130569,0.6075080101153416,-0.5914473332588571
-0.8128977107182112,0.3223609514865361,-0.3896522429702251,-0.025859513782541303,0.32141815953119385,-0.3966470339200278,-0.1304142305681325,0.32111682843583705,-0.3987123343837903,0.8890903035601189,0.5731010604804234,-0.5687365156199613
-0.8181813459627736,0.3223847577775333,-0.3894634157984519,-0.020485208683337766,0.32140426671034794,-0.3967438647869285,-0.12501398987624432,0.32112360031333476,-0.39866671147714317,0.8967089449977543,0.5404626704298436,-0.5466538070722731
